label,corpus name,sound type,num channels,sampling rate [kHz],compression,SNR [dB],RT60 [ms],Duration [h],language,license,project page link,download link,,
200drum-machines,200DrumMachines,music,1,44.1,unknown,N/A,N/A,1.2,N/A,unknown,https://www.hexawe.net/mess/200.Drum.Machines/,https://www.hexawe.net/mess/200.Drum.Machines/,,
3d-marco-v.1.0.1,3D Microphone Array Recording Comparison (3D-MARCo),"audio, music, speech",3+,48+,no,N/A,N/A?,0.18,N/A,CC BY-NC 3.0,https://zenodo.org/records/3477602,https://zenodo.org/records/3477602,,
6dof-seld,6DoF SELD: SELD dataset for detecting and localizing sound events from the view of self-motion humans,audio,3+,48+,,"6, 10, 20","120, 300, 410",20.1,N/A,licensed by NTT,https://zenodo.org/records/10473531,https://zenodo.org/records/10473531,,
ace-challenge,ACE CHALLENGE for evaluating state-of-the-art algorithms for blind acoustic parameter estimation from speech,speech,3+,"48+, 16",no,"0, 10, 20 (dev),
-1, 12, 18 (eval)","340, 370, 390, 440, 640, 650, 1250","120 (dev),
eval 4500 utterances for each mic
(時間単位での長さは記載なし)",eng,CC BY-ND 4.0,http://www.ee.ic.ac.uk/naylor/ACEweb/index.html,,,
ace-kising,ACE-KiSing: using singing voice synthesizer for data augmentation,speech,1,48+,no,w/o,w/o,32.5,"eng, cmn",CC BY-NC 4.0,https://huggingface.co/datasets/espnet/ace-kising-segments,https://huggingface.co/datasets/espnet/ace-kising-segments,,
ace-opencpop,ACE-Opencpop: using singing voice synthesizer for data augmentation,speech,1,48+,no,w/o,w/o,129,cmn,CC BY-NC 4.0,https://huggingface.co/datasets/espnet/ace-opencpop-segments,https://huggingface.co/datasets/espnet/ace-opencpop-segments,,
adc2004,ADC2004: Polyphonic Melody Extraction,music,1,44.1,no,w/o,w/o,0.1,N/A,none,http://labrosa.ee.columbia.edu/projects/melody/,http://labrosa.ee.columbia.edu/projects/melody/,,
add2022,ADD: Audio Deep Synthesis Detection Challenge 2022 dataset,speech,1,16,no,w/o,w/o,1000,cmn,CC BY-NC-ND 4.0,http://addchallenge.cn/databases2023,https://zenodo.org/records/12188127,,
add2023,ADD: Audio Deep Synthesis Detection Challenge 2023 dataset,speech,1,16,no,w/o,w/o,740,cmn,CC BY-NC-ND 4.0,http://addchallenge.cn/databases2023,http://addchallenge.cn/downloadADD2023,,
adept,ADEPT: A Dataset for Evaluating Prosody Transfer,speech,1,44.1,no,w/o,w/o,0.2,eng,CC BY 4.0,https://zenodo.org/records/5117102,https://zenodo.org/records/5117102,,
aed,Acoustic Event Dataset: containing 28 class acoustic event sound,audio,1,16,no,N/A,N/A,12.8,eng,various,https://data.vision.ee.ethz.ch/cvl/ae_dataset/,https://data.vision.ee.ethz.ch/cvl/ae_dataset/,,
aishell-1,"Aishell: an open-source Chinese Mandarin speech corpus published by Beijing Shell Shell Technology Co.,Ltd.",speech,1,16,no,w/o,w/o,170,cmn,Apache License v2.0,https://www.openslr.org/33/,https://www.openslr.org/33/,,
aishell-3,"Aishell-3: a large-scale and high-fidelity multi-speaker Mandarin speech corpus published by Beijing Shell Shell Technology Co.,Ltd.",speech,1,44.1,no,w/o,w/o,85,cmn,Apache License v2.0,https://www.openslr.org/93/,https://www.openslr.org/93/,,
aishell-4,Aishell-4: a sizable real-recorded Mandarin speech dataset collected by 8-channel circular microphone array for speech processing in conference scenarios,speech,3+,16,no,w/,w/,120,cmn,CC BY-SA 4.0,https://www.openslr.org/111/,https://www.openslr.org/111/,,
aist-dance-db,AIST Dance Video Database: a shared database containing original street dance videos with copyright-cleared dance music,music,2,44.1,yes,w/,w/,120,N/A,non-commercial,https://aistdancedb.ongaaccel.jp/,https://aistdancedb.ongaaccel.jp/database_download/,,
alimeeting,"A Free Mandarin Multi-channel Meeting Speech Corpus, provided by Alibaba Group",speech,3+,"16, 48+",no,w/,w/,119,cmn,CC BY-SA 4.0,https://www.openslr.org/119/,https://www.openslr.org/119/,,
ami,AMI corpus: a multi-modal data set consisting of 100 hours of meeting recordings,speech,3+,16,no,N/A,N/A,100,eng,CC BY 4.0,https://groups.inf.ed.ac.uk/ami/download/,https://groups.inf.ed.ac.uk/ami/download/,,
aozora,Aozora Bunko furigana-annotated speech corpus,speech,1,22.05,yes,w/,w/,3500,jpn,public domain,https://github.com/ndl-lab/hurigana-speech-corpus-aozoraa,https://github.com/ndl-lab/hurigana-speech-corpus-aozora,,
aragusuku,南琉球新城方言音声データベース (Aragusuku),speech,2,44.1,unknown,w/o,w/,,jpn,research only,https://research.nii.ac.jp/src/Aragusuku.html,https://www.nii.ac.jp/dsc/idr/speech/submit/Aragusuku.html,,
arctic,"CMU ARCTIC: Phonetically balanced, US English single speaker databases designed for unit selection speech synthesis research",speech,1,16,no,w/o,w/o,10,eng,none,http://www.festvox.org/cmu_arctic/,http://www.festvox.org/cmu_arctic/,,
arctic-l2,L2-ARCTIC: a non-native English speech corpus,speech,1,44.1,no,w/o,w/o,27,eng,CC BY-NC 4.0,https://psi.engr.tamu.edu/l2-arctic-corpus/,https://psi.engr.tamu.edu/l2-arctic-corpus/,,
atcosim,ATCOSIM: Air Traffic Control Simulation Speech Corpus,speech,1,32,yes,w/,w/,10,eng,OK for commercial use and re-distribution,https://www.spsc.tugraz.at/databases-and-tools/atcosim-air-traffic-control-simulation-speech-corpus.html,https://www.spsc.tugraz.at/databases-and-tools/atcosim-air-traffic-control-simulation-speech-corpus.html,,
audio-alpaca,Audio-alpaca: a preference dataset for aligning text-to-audio models,audio,1,16,yes,w/,w/,80,eng,Apache License v2.0,https://huggingface.co/datasets/declare-lab/audio-alpacaa,https://huggingface.co/datasets/declare-lab/audio-alpaca,,
audio-dialogues,Audio Dialogues: dialogues dataset for audio and music understanding,audio,1,22.05,yes,w/,w/,440,eng,,https://audiodialogues.github.io/,,,
audio-entailment,AudioEntailment: assessing Deductive Reasoning for Audio Understanding,audio,1,48+,yes,w/,w/,40,eng,MIT,https://github.com/microsoft/AudioEntailment,https://github.com/microsoft/AudioEntailment,,
audio-mnist,audioMNIST: Interpreting and Explaining Deep Neural Networks for Classification of Audio Signals,speech,1,48+,no,w/o,w/o,9.5,eng,MIT,https://github.com/soerenab/AudioMNIST,https://github.com/soerenab/AudioMNIST,,
audiocaps,AudioCaps: Generating Captions for Audios in the Wild,audio,1,48+,yes,w/,w/,2.4,eng,MIT,https://audiocaps.github.io/,https://github.com/cdjkim/audiocaps,,
audiocaps_ja,AudioCaps Japanese,audio,1,48+,yes,w/,w/,2.4,jpn,MIT,https://github.com/sarulab-speech/ml-audiocaps,https://github.com/sarulab-speech/ml-audiocaps,,
audioset,AudioSet: consisting of an expanding ontology of 632 audio event classes,audio,"1, 2",44.1,yes,w/,w/,50,eng,CC BY-SA 4.0,https://research.google.com/audioset/,https://pypi.org/project/audioset-download/,,
audiotime,AudioTime: a strongly aligned audio-text dataset,audio,1,16,yes,w/,w/,14,eng,none,https://github.com/zeyuxie29/AudioTime,https://github.com/zeyuxie29/AudioTime,,
avpd,Amateur vocal percussion dataset: investigating how people with little or no experience in beatboxing approach the task of vocal percussion,"speech, music",1,44.1,no,w/o,w/o,1,N/A,CC BY 4.0,https://zenodo.org/records/5036529,https://zenodo.org/records/5036529,,
awa-lrt,AWA長期間収録音声コーパス (AWA-LTR),speech,1,16,unknown,w/o,w/o,,jpn,research only,https://research.nii.ac.jp/src/AWA-LTR.html,https://www.nii.ac.jp/dsc/idr/speech/submit/AWA-LTR.html,,
bach10-v1.1,bach10 ver1.1the audio recordings of each part and the ensemble of ten pieces of four-part J.S. Bach chorales,music,1,44.1,no,w/o,w/o,0.5,N/A,none,https://github.com/flippy-fyp/Bach10_v1.1,https://github.com/flippy-fyp/Bach10_v1.1,,
baf,BAF: an audio fingerprinting dataset for broadcast monitoring,music,1,8,yes,w/,w/,130,eng,custom (nof for synthesis),https://zenodo.org/records/6868083,https://zenodo.org/records/6868083,,
ballroom,ballroom: many informations on ballroom dancing,music,1,44.1,no,w/o,w/o,6,N/A,none,https://mtg.upf.edu/ismir2004/contest/tempoContest/node5.html,https://mtg.upf.edu/ismir2004/contest/tempoContest/node5.html,,
bats,egyptian fruit bat: An annotated dataset of Egyptian fruit bat vocalizations across varying contexts and during vocal ontogen,audio,1,48+,yes,w/,w/,35,N/A,none,https://www.kaggle.com/datasets/dogukankaggle/fruit-bat-dataset,https://www.kaggle.com/datasets/dogukankaggle/fruit-bat-dataset,,
beans,BEANS: The Benchmark of Animal Sounds,audio,1,"16, 44.1, 48+, others",yes,w/,w/,200,N/A,various,https://github.com/earthspecies/beans,https://github.com/earthspecies/beans,,
beatboxset1,beatboxset1: beatboxing audio data set,speech,1,44.1,no,w/o,w/o,0.1,N/A,CC BY-SA 3.0,https://archive.org/details/beatboxset1,https://archive.org/details/beatboxset1,,
beatport-edm,Beatport EDM key: 1486 two-minute sound excerpts from various EDM subgenres,music,1,44.1,yes,w/,w/,50,N/A,CC BY-SA 4.0,https://zenodo.org/records/1101082,https://zenodo.org/records/1101082,,
beep,"BEEP Dictionary: Phonemic transcriptions of over 250,000 English words. (British English pronunciations)",speech,others,others,unknown,-,-,0,eng,research only,https://www.openslr.org/14/,https://www.openslr.org/14/,,
brid,Brazilian rhythmic instruments dataset: 274 solo and 93 multiple-instrument recorded tracks of 10 different instrument classes with variations playing in 5 main rhythm classes,music,1,44.1,no,N/A,N/A,3,N/A,CC BY 4.0,https://zenodo.org/records/14051323,https://zenodo.org/records/14051323,,
brudex-v2,BRUDEX Database v2: Binaural Room Impulse Responses with Uniformly Distributed External Microphones,audio,3+,48+,no,w/o,3105101300,,eng,MIT,https://zenodo.org/records/8340195,https://zenodo.org/records/8340195,,
bsd10k,"BSD10k: initial version of the Broad Sound Dataset (BSD), a collection of ~10k annotated sounds aligned with the second level of the classes defined in the BST taxonomy",audio,1,44.1,yes,w/,w/,32.5,eng,CC (ファイルごとに違う),https://github.com/allholy/BSD10k?tab=readme-ov-file,https://drive.google.com/file/d/1jyEwyY7TqevOqwMzM1kmWf7gbhrT4Yj0/view,,
buckeye,Buckeye corpus: conversational speech contains high-quality recordings from 40 speakers in Columbus OH conversing freely with an interviewer,speech,,,,,,19,eng,non-commercial,https://buckeyecorpus.osu.edu/,https://buckeyecorpus.osu.edu/,,
but-speech,BUT Speech@FIT Reverb Database,speech,3+,48+,no,w/,w/,78,eng,CC BY 4.0,https://speech.fit.vut.cz/software/but-speech-fit-reverb-database,http://merlin.fit.vutbr.cz/ReverbDB/BUT_ReverbDB_rel_19_06_LibriSpeech-Only.tgz,,
cabank-jp-callfriend,CABank Japanese CallFriend Corpus,speech,2,8,yes,w/,w/,10,jpn,non-commercial,https://ca.talkbank.org/access/CallFriend/jpn.html,https://ca.talkbank.org/access/CallFriend/jpn.html,,
cabank-jp-sakura,CABank Japanese Sakura Corpus,speech,,,,w/,w/,7,jpn,TalkBank license,https://ca.talkbank.org/access/Sakura.html,https://ca.talkbank.org/access/Sakura.html,,
cal500,CAL500,music,1,22.05,yes,w/,w/,3,eng,non-commercial,https://ismir.net/resources/datasets/,http://calab1.ucsd.edu/~datasets/,,
callhome,CALLHOME,speech,2,8,yes,w/,w/,20,"eng, jpn, others",https://www.ldc.upenn.edu/language-resources/data/obtaining,https://huggingface.co/datasets/talkbank/callhome,https://huggingface.co/datasets/talkbank/callhome,,
calls,CALLS: Japanese Empathetic Dialogue Speech Corpus of Complaint Handling and Attentive Listening in Customer Center,speech,1,48+,no,w/o,w/o,6.5,jpn,research only,https://sython.org/Corpus/STUDIES-2/,https://www.nii.ac.jp/dsc/idr/speech/submit/STUDIES.html,,
candombe,Candombe dataset,music,2,44.1,no,w/o,w/o,2,N/A,none,https://www.eumus.edu.uy/candombe/datasets/ISMIR2015/,https://www.eumus.edu.uy/candombe/datasets/candombe_dataset.tar.gz,,
captdure,CAPTDURE,audio,"1, 2",48+,no,w/o,w/,1.99,"jpn, eng",CC BY-NC-SA 4.0,https://zenodo.org/records/7965763,https://zenodo.org/records/7965763,,
cbf-v1.2,CBFdataset: A Dataset of Chinese Bamboo Flute Performances,music,1,44.1,no,w/,w/,2.6,cmn,CC BY 4.0,https://zenodo.org/records/5744336,https://zenodo.org/records/5744336,,
cbi,Cornell Bird Identification,audio,1,48+,yes,w/,w/,110,N/A,CC BY-NC-SA 4.0,https://www.kaggle.com/c/birdsong-recognition/data,https://www.kaggle.com/c/birdsong-recognition/data,,
ccmixter,CCMixter,music,2,44.1,yes,w/o,w/o,3,N/A,,https://members.loria.fr/ALiutkus/kam/,https://members.loria.fr/ALiutkus/kam/,,
cejc,Corpus of Everyday Japanese Conversation,speech,others,16,no,w/,N/A,200,jpn,https://www2.ninjal.ac.jp/conversation/cejc/guideline.html#aim,https://www2.ninjal.ac.jp/conversation/cejc.html,https://www2.ninjal.ac.jp/conversation/cejc/contract.html,,
cfad-v4,CFAD dataset v4,speech,1,,no,"0, 5, 10, 15, 20",w/o,,cmn,CC BY 4.0,http://addchallenge.cn/databases2023,https://zenodo.org/records/8122764,,
chcholscene,CochlScene dataset,audio,1,44.1,no,w/,w/,210,N/A,CC BY-SA 3.0,https://zenodo.org/records/7080122,https://zenodo.org/records/7080122,,
chiba3party,千葉大学 3人会話コーパス (Chiba3Party),speech,"2, others",16,unknown,w/,w/,2,jpn,research only,https://chiba3party.jdri.org/,https://www.nii.ac.jp/dsc/idr/speech/submit/Chiba3Party.html,,
chime-1,CHiME-1,speech,2,"16, 48+",no,w/,w/,20,eng,none,https://www.chimechallenge.org/challenges/chime1/index,https://www.myairbridge.com/en/#!/folder/FJTN49Hp1BZgvBLcqnS9LafBpxtbxkHo,,
chime-3,CHiME-3,speech,3+,16,no,w/,N/A,342,eng,https://catalog.ldc.upenn.edu/LDC2017S24,https://www.chimechallenge.org/challenges/chime3/index,https://catalog.ldc.upenn.edu/LDC2017S24,,
chime-6,CHiME-6,speech,3+,16,no,w/,N/A,50,eng,CC BY-SA 4.0,https://www.openslr.org/150/,https://www.openslr.org/150/,,
chopin22,Chopin22,music,2,44.1,yes,w/o,w/,0.8,N/A,none,https://iwk.mdw.ac.at/goebl/mp3.html,https://iwk.mdw.ac.at/goebl/mp3.html,,
choral-singing-v5,Choral Singing Dataset,speech,1,44.1,no,w/o,w/o,2,others,CC BY 4.0,https://zenodo.org/records/2649950,https://zenodo.org/records/2649950,,
choralsynth,ChoralSynth: a synthesized dataset of 20 multitrack choral songs,speech,1,32,yes,w/o,w/o,3.8,"eng, others",CC BY-NC-SA 4.0,https://github.com/MTG/ChoralSynth/tree/main,https://github.com/MTG/ChoralSynth/tree/main,,
chordonomicon,"Chordonomicon: A Dataset of 666,000 Chord Progressions",music,others,others,unknown,,,,N/A,Apache License v2.0,https://github.com/spyroskantarelis/chordonomicon,https://github.com/spyroskantarelis/chordonomicon,,
ciair-vcv,CIAIR Video game Command Voice (CIAIR-VCV),speech,1,16,no,w/,w/,6,jpn,non-commercial,https://research.nii.ac.jp/src/CIAIR-VCV.html,https://www.nii.ac.jp/dsc/idr/speech/submit/CIAIR-VCV.html,,
clarity-21,The First Clarity Enhancement Challenge CEC1,"speech, audio","1, 2",44.1,no,-6 to 6 or 0 to 12,N/A,14,eng,CC BY-SA 4.0,https://claritychallenge.org/docs/cec1/cec1_intro,https://claritychallenge.org/docs/cec1/cec1_download,,
clarity-cec2,The 2nd Clarity Enhancement Challenge,"speech, audio","1, 2",44.1,no,-12 to 6,N/A,,eng,,https://claritychallenge.org/docs/cec2/cec2_intro,https://claritychallenge.org/docs/cec2/cec2_download,,
clarity-cec3,The 3rd Clarity Enhancement Challenge,"speech, audio","1, 2",44.1,no,w/,N/A,,eng,,https://claritychallenge.org/docs/cec3/cec3_intro,https://claritychallenge.org/docs/cec3/cec3_download,,
clarity-cpc1,The 1st Clarity Prediction Challenge,"speech, audio","1, 2",44.1,no,-6 to 6,N/A,,eng,CC BY-SA 4.0,https://claritychallenge.org/docs/cpc1/cpc1_intro,https://claritychallenge.org/docs/cpc1/cpc1_download,,
clarity-icassp2023,The ICASSP 2023 Clarity Challenge,"speech, audio","1, 2",44.1,no,w/,N/A,,eng,,https://claritychallenge.org/docs/icassp2023/icassp2023_intro,https://claritychallenge.org/docs/icassp2023/icassp2023_download,,
closermusicdb,CloserMusicDB: A Modern Multipurpose Dataset of High Quality Music,music,2,44.1,no,w/o,w/o,5,N/A,NC-RCL,https://github.com/closermusic/CloserMusicDB?tab=readme-ov-file,https://zenodo.org/records/13868828,,
clotho-aqa,Clotho-AQA: audio question-answering dataset consisting of 1991 audio samples taken from Clotho dataset,audio,1,44.1,yes,w/,w/,200,eng,"various (audio), MIT (text)",https://zenodo.org/records/6473207,https://zenodo.org/records/6473207,,
clotho-v2.1,Clotho ver.2.1,audio,1,44.1,yes,w/,w/,130,eng,CC BY 4.0,https://zenodo.org/records/4783391,https://zenodo.org/records/4783391,,
cml-tts,CML-TTS: A Multilingual Dataset for Speech Synthesis in Low-Resource Languages,speech,1,24,yes,w/,w/,3176,others,CC BY 4.0,https://www.openslr.org/146/,https://www.openslr.org/146/,,
cn-celeb1-2,CN-Celeb1/2,speech,1,16,yes,w/,w/,274,cmn,CC BY-SA 4.0,https://cnceleb.org/,https://www.openslr.org/82/,,
coconut,coconut: Corpus of Connecting Nihongo Utterance and Text (Coco-Nut),speech,1,24,yes,w/,w/,8,jpn,non-commercial,https://github.com/sarulab-speech/Coco-Nut,https://research.nii.ac.jp/src/en/Coco-Nut.html,,
coconut-humoresque,coconut-humoresque: Who Finds This Voice Attractive? A Large-Scale Experiment Using In-the-Wild Data,speech,1,24,yes,w/,w/,2,jpn,non-commercial,https://github.com/sarulab-speech/Coco-Nut/tree/main/humoresque,https://github.com/sarulab-speech/Coco-Nut/tree/main/humoresque,,
cojads,Corpus of Japanese Dialects,speech,1,8,yes,w/,w/,97,jpn,non-commercial,https://www2.ninjal.ac.jp/cojads/index.html,https://www2.ninjal.ac.jp/cojads/index.html,,
common-crawl-audio,Audio-text pairs extracted from common crawl,audio,"1, 2",others,yes,w/,w/,,"eng, jpn, cmn, others","OK for commercial use, https://commoncrawl.org/terms-of-use",https://github.com/rom1504/cc2dataset,https://github.com/rom1504/cc2dataset,,
common-phone,Common Phone: A Multilingual Dataset for Robust Acoustic Modelling,speech,1,16,yes,w/,w/,116.5,"eng, others",CC0 1.0,https://zenodo.org/records/5846137,https://zenodo.org/records/5846137,,
commonvoice,CommonVoice: A Massively-Multilingual Speech Corpus,speech,1,48+,yes,w/,w/,21000,"eng, jpn, cmn, others",CC0 1.0,https://commonvoice.mozilla.org/,https://commonvoice.mozilla.org/ja/datasets,,
covers80,covers80,music,1,16,yes,w/,w/,5,N/A,none,http://labrosa.ee.columbia.edu/projects/coversongs/covers80/,http://labrosa.ee.columbia.edu/projects/coversongs/covers80/,,
covost,CoVoST: A Large-Scale Multilingual Speech-To-Text Translation Corpus,speech,1,16,yes,w/,w/,600,"eng, jpn, others, cmn",CC0 1.0,https://github.com/facebookresearch/covost,https://github.com/facebookresearch/covost,,
cpjd,CPJD: Crowdsourced Parallel Speech Corpus of Japanese Dialects,speech,1,16,yes,w/,w/,9,jpn,non-commercial,https://sites.google.com/site/shinnosuketakamichi/research-topics/cpjd_corpus,https://sites.google.com/site/shinnosuketakamichi/research-topics/cpjd_corpus,#REF!,
crema-d,CREMA-D: Crowd-sourced Emotional Multimodal Actors Dataset,speech,1,48+,yes,w/,w/,10,eng,ODbL v1.0,https://github.com/CheyneyComputerScience/CREMA-D,https://github.com/CheyneyComputerScience/CREMA-D,,
crowd-uk-ireland,Crowdsourced high-quality UK and Ireland English Dialect speech data set.,speech,1,48+,no,w/,w/,31,eng,CC BY-SA 4.0,https://www.openslr.org/83/,https://www.openslr.org/83/,,
csd,Children's song dataset,"music, speech",1,44.1,no,w/o,w/o,5,"eng, others",CC BY-NC-SA 4.0,https://zenodo.org/records/4916302,https://zenodo.org/records/4916302,,
csibe,Common Sounds in Bedrooms (CSIBE) Corpora,speech,1,44.1,no,w/,w/,2.4,N/A,CC BY 4.0,https://zenodo.org/records/1243714,https://zenodo.org/records/1243714,,
csj,Corpus of Spontaneous Japanese,speech,1,16,no,w/,w/,660,jpn,non-commercial,https://clrd.ninjal.ac.jp/csj/,https://clrd.ninjal.ac.jp/csj/,,
css10,CSS10: A Collection of Single Speaker Speech Datasets for 10 Languages,speech,1,22.05,yes,w/,w/,140,"eng, jpn, others",Apache License v2.0,https://github.com/Kyubyong/css10,https://github.com/Kyubyong/css10,,
ctrsvdd,CtrSVDD: A Benchmark Dataset and Baseline Analysis for Controlled Singing Voice Deepfake Detection,speech,1,16,no,w/o,w/o,150,"jpn, cmn",CC BY-NC 4.0,https://github.com/SVDDChallenge/CtrSVDD2024_Baseline,https://zenodo.org/records/10467648,,
dacci-vodan,DAACI-VoDAn: a dataset for vocal detection that comprises manually-generated vocal activity annotations for 706 full-length music tracks,music,1,44.1,yes,w/,w/,45,eng,CC BY-NC-SA 4.0,https://zenodo.org/records/8017757,https://zenodo.org/records/8017757,,
dagstuhl-chorset-v.1.2.3,Dagstuhl ChoirSet v.1.2.3,speech,"1, 2",22.05,no,w/,w/,1,others,CC BY 4.0,https://www.audiolabs-erlangen.de/resources/MIR/2020-DagstuhlChoirSet,https://zenodo.org/records/4618287,,
dai-onsen,the series of Corpus of Spontaneous Speech in Japanese,speech,"1, 2",48+,no,w/o,w/o,1130,jpn,research only,https://www.timehill.net/asr-mt.htmll,https://www.timehill.net/asr-mt.html,,
dailytalk,DailyTalk: Spoken Dialogue Dataset for Conversational Text-to-Speech,speech,1,22.05,no,w/o,w/o,20,eng,CC BY-SA 4.0,https://github.com/keonlee9420/DailyTalk,https://drive.google.com/drive/folders/1WRt-EprWs-2rmYxoWYT9_13omlhDHcaL,,
damp-vsep,DAMP-VSEP: Smule Digital Archive of Mobile Performances,music,,44.1,yes,w/,w/,95,"eng, others",Smule's Research Data License,https://zenodo.org/records/3553059,https://zenodo.org/records/3553059,,
databaker_zh,DataBaker Chinese Mandarin Female Corpus,speech,1,48+,no,w/o,w/o,12,cmn,non-commercial,https://en.data-baker.com/datasets/freeDatasets/,https://en.data-baker.com/datasets/freeDatasets/,,
dcase2018-task3,DCASE 2018 Task 3 Bird Audio Detection eval set,audio,1,44.1,no,w/,w/,102,N/A,CC BY 4.0,https://dcase.community/challenge2018/task-bird-audio-detection,https://dcase.community/challenge2018/task-bird-audio-detection#development-datasets,,
dcase2021-task05,DCASE 2021 Task 5 Few-shot Bioacoustic Event Detection,audio,1,"8, 22.05, 24, others",no,w/,w/,30,N/A,CC BY 4.0,https://dcase.community/challenge2021/task-few-shot-bioacoustic-event-detection,https://zenodo.org/records/4543504,,
dcase2024-task01,DCASE 2024 Task 1 Data-Efficient Low-Complexity Acoustic Scene Classification,audio,2,44.1,no,w/,w/,64,N/A,non-commercial,https://dcase.community/challenge2024/task-data-efficient-low-complexity-acoustic-scene-classification,https://zenodo.org/records/6337421,,
dcase2024-task02,DCASE 2024 Task 2 Anomalous Sound Detection,audio,1,16,no,w/,w/,18,N/A,CC BY 4.0,"https://zenodo.org/records/11259435, https://zenodo.org/records/11363076","https://zenodo.org/records/11259435, https://zenodo.org/records/11363076",,
dcase2024-task03,"DCASE 2024 Task 3 STARSS23, Development and Evaluation dataset",audio,3+,24,no,w/,w/,10,N/A,MIT,https://dcase.community/challenge2024/task-audio-and-audiovisual-sound-event-localization-and-detection-with-source-distance-estimation,https://zenodo.org/records/7880637,,
dcase2024-task04,DCASE 2024 Task 4 Sound Event Detection with Soft Labels,audio,2,44.1,no,w/,w/,3.1,N/A,non-commercial,https://dcase.community/challenge2023/task-sound-event-detection-with-soft-labels,https://zenodo.org/records/7244360,,
dcase2024-task07,DCASE 2024 Task 7 Sound Scene Synthesis,audio,1,32,yes,w/,w/,0.1,eng,CC BY 4.0,https://dcase.community/challenge2024/task-sound-scene-synthesis,https://zenodo.org/records/10869644,,
dcase2024-task09,DCASE 2024 Task 9 Language-Queried Audio Source Separation | Development Set,audio,1,16,yes,w/,w/,130,eng,CC BY 4.0,https://dcase.community/challenge2024/task-language-queried-audio-source-separation,https://zenodo.org/records/10887496,,
dcase2024-task10,DCASE 2024 Task 10 Acoustic-Based Traffic Monitoring,audio,3+,16,no,N/A,N/A,250,N/A,CC BY-NC-SA 4.0,https://dcase.community/challenge2024/task-acoustic-based-traffic-monitoring,https://zenodo.org/records/10700792,,
deam,DEAM: The MediaEval Database for Emotional Analysis of Music,music,2,44.1,yes,N/A,N/A,23,N/A,CC BY-NC 4.0,https://cvml.unige.ch/databases/DEAM/,https://www.kaggle.com/datasets/imsparsh/deam-mediaeval-dataset-emotional-analysis-in-music,,
debatts,Debatts-Data: The First Madarin Rebuttal Speech Dataset for Expressive Text-to-Speech Synthesis,speech,1,16,no,w/,w/,111,cmn,CC BY-NC 4.0,https://amphionspace.github.io/debatts/,https://huggingface.co/datasets/amphion/Debatts-Data,,
decro-v1.2,deepfake cross-lingual evaluation dataset (DECRO),speech,1,16,no,w/o,w/o,137,"eng, cmn",CC BY 4.0,https://zenodo.org/records/7603208,https://zenodo.org/records/7603208,,
demand,DEMAND: a collection of multi-channel recordings of acoustic noise in diverse environments,audio,3+,"48+, 16",no,N/A,N/A,1.5,N/A,CC BY-SA 3.0,https://inria.hal.science/hal-00796707/en,https://zenodo.org/records/1227121,,
desed,DESED: Domestic environment sound event detection,audio,1,44.1,yes,w/,w/,,N/A,various,https://github.com/turpaultn/DESED,https://github.com/turpaultn/DESED,,
