label,corpus name,sound type,num channels,sampling rate [kHz],compression,SNR [dB],RT60 [ms],Duration [h],language,license,project page link,download link,,
dipco,Dinner Party Corpus,speech,1,16,no,w/,w/,3,eng,CDLA-Permissive,https://www.amazon.science/publications/dipco-dinner-party-corpus,https://huggingface.co/datasets/benjamin-paine/dinner-party-corpus,,
dnr-v2,Divide and Remaster (DnR) v2,"speech, audio, music",1,44.1,yes,w/,w/,55,N/A,CC BY 4.0,https://github.com/darius522/dnr-utils,https://zenodo.org/records/6949108,,
dr-vctk,Device Recorded VCTK: high-quality speech signals recorded in a semi-anechoic chamber using professional audio devices are played back and re-recorded in office environments using relatively inexpensive consumer devices.,speech,1,16,no,w/,w/,18,eng,CC BY 4.0,https://datashare.ed.ac.uk/handle/10283/3038,https://datashare.ed.ac.uk/handle/10283/3038,,
dvtd,"Dresden Vocal Tract Dataset: geometric and (aero)acoustic data of the vocal tract of 22 German speech sounds (16 vowels, 5 fricatives, 1 lateral), each from one male and one female speaker",speech,1,44.1,no,w/,w/,0.1,others,none,https://www.vocaltractlab.de/index.php?page=dvtd,https://www.vocaltractlab.de/index.php?page=dvtd,,
earning-21,Earnings 21: entity dense speech from nine different financial sectors.,speech,1,"others, 44.1, 24, 22.05, 16",yes,w/,w/,39,eng,CC BY-SA 4.0,https://github.com/revdotcom/speech-datasets/tree/main/earnings21,https://codeload.github.com/revdotcom/speech-datasets/zip/refs/heads/main,,
earning-22,Earnings 22 dataset: 119-hour corpus of English-language earnings calls collected from global companies,speech,1,24,yes,w/,w/,119,eng,CC BY-SA 4.0,https://github.com/revdotcom/speech-datasets/tree/main/earnings22,https://github.com/revdotcom/speech-datasets/tree/main/earnings22,,
ears,Expressive Anechoic Recordings of Speech (EARS) dataset,speech,1,48+,no,w/o,w/o,100,eng,CC BY-NC 4.0,https://sp-uhh.github.io/ears_dataset/,https://github.com/facebookresearch/ears_dataset,,
ears-jp,超高齢者音声コーパス (EARS),speech,1,16,no,w/o,w/o,13.4,jpn,research only,https://research.nii.ac.jp/src/EARS.html,https://www.nii.ac.jp/dsc/idr/speech/submit/EARS.html,,
easycom,EasyCom: An Augmented Reality Dataset,speech,"others, 1, 3+",48+,no,w/,645,5,eng,CC BY-NC 4.0,https://github.com/facebookresearch/EasyComDataset,https://github.com/facebookresearch/EasyComDataset/releases,,
edacc,The Edinburgh International Accents of English Corpus,speech,1,32,yes,w/,w/,40,eng,CC BY-SA 2.0,https://groups.inf.ed.ac.uk/edacc/,https://huggingface.co/datasets/edinburghcstr/edacc/discussions,,
edm-cue,EDM-CUE dataset,music,2,44.1,yes,w/,w/,380,"eng, others",MIT,https://huggingface.co/datasets/disco-eth/edm-cue,https://huggingface.co/datasets/disco-eth/edm-cue,,
emilia,"Emilia: An Extensive, Multilingual, and Diverse Speech Dataset for Large-Scale Speech Generation",speech,1,24,yes,w/,w/,101000,"eng, jpn, cmn, others",non-commercial,https://huggingface.co/datasets/amphion/Emilia-Dataset,https://huggingface.co/datasets/amphion/Emilia-Dataset,,
emns,An emotive single-speaker dataset for narrative storytelling,speech,1,48+,no,w/o,w/o,2.3,eng,Apache License v2.0,https://www.openslr.org/136/,https://www.openslr.org/136/,,
emo-soundscapes,Emo-Soudscapes: 1213 6-second Creative Commons licensed audio clips,audio,1,48+,no,N/A,N/A,2,N/A,CC BY 4.0,https://www.metacreation.net/projects/emo-soundscapes/,https://drive.google.com/file/d/1cfMgMssDc-ytedcITvM18nzWcBLeoZFz/view?usp=sharing,,
emofake,EmoFake: An Initial Dataset for Emotion Fake Audio Detection,speech,1,16,no,w/,w/,1.4,"eng, cmn",CC BY-NC-ND 4.0,http://addchallenge.cn/databases2023,https://zenodo.org/records/12806228,,
emotify,Emotify,music,2,44.1,yes,w/,w/,7,N/A,none,https://www.projects.science.uu.nl/memotion/emotifydata/,https://www.projects.science.uu.nl/memotion/emotifydata/,,
emov,EmoV_DB: a database of emotional speech intended to be open-sourced and used for synthesis and generation purpose,speech,1,16,no,w/o,w/o,12,eng,non-commercial,https://www.openslr.org/109/,https://www.openslr.org/115/,,
emovome-v2,Emotional Voice Messages (EMOVOME) database,speech,1,"44.1, 48+",no,w/,w/,5,eng,CC BY 4.0,https://zenodo.org/records/10694370,https://zenodo.org/records/10694370,,
enab,Eastern North American Birds,audio,1,"32, 48+",yes,w/,w/,7,N/A,CC0 1.0,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.3329#support-information-section,https://esajournals.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fecy.3329&file=ecy3329-sup-0001-DataS1.zip,,
english-children,Children speech recording,speech,"1, 2",44.1,no,w/,w/,0.5,eng,CC BY 4.0,https://zenodo.org/records/200495,https://zenodo.org/records/200495,,
enst-drums,ENST-Drums,music,2,44.1,yes,w/,w/,1.3,N/A,non-commercial,https://perso.telecom-paristech.fr/grichard/ENST-drums/,https://perso.telecom-paristech.fr/grichard/ENST-drums/,,
epic-sound,EPIC-SOUNDS: a large scale dataset of audio annotations capturing temporal extents and class labels within the audio stream of the egocentric videos from EPIC-KITCHENS-100,audio,1,24,yes,w/,w/,100,N/A,CC BY-NC 4.0,https://epic-kitchens.github.io/epic-sounds/,https://github.com/epic-kitchens/epic-sounds-annotations,,
erkomaishvili,Erkomaishvili Dataset,speech,2,44.1,yes,w/,w/,5,others,none,https://www.audiolabs-erlangen.de/resources/MIR/2019-GeorgianMusic-Erkomaishvili,https://www.audiolabs-erlangen.de/resources/MIR/2019-GeorgianMusic-Erkomaishvili,,
esc50,ESC-50: Dataset for Environmental Sound Classification,audio,1,44.1,yes,w/,w/,5.5,eng,CC BY-NC 4.0,https://github.com/karolpiczak/ESC-50,https://github.com/karolpiczak/ESC-50,,
esc50-voice,ESC-50-Voice: Dataset of vocal imitation for environmental sound in ESC-50,speech,1,48+,no,w/o,w/o,40,N/A,none,https://zenodo.org/records/11385662,https://zenodo.org/records/11385662,,
esd,Emotional Speech Dataset for Speech Synthesis and Voice Conversion,speech,1,16,no,w/,w/,29,"eng, cmn",https://drive.google.com/file/d/1Q1Wa45u-ymzpUO3_U-y8yisn4f5PlDIK/view,https://github.com/HLTSingapore/Emotional-Speech-Data,https://drive.google.com/file/d/1scuFwqh8s7KIYAfZW1Eu6088ZAK2SI-v/view,,
fakeavceleb,FakeAVCeleb: containing not only deepfake videos but also respective synthesized lip-synced fake audios.,speech,1,16,yes,w/,w/,43,eng,non-commercial,https://sites.google.com/view/fakeavcelebdash-lab/,https://sites.google.com/view/fakeavcelebdash-lab/download?authuser=0,,
fleurs,FLEURS: the speech version of the FLoRes machine translation benchmark,speech,1,16,yes,w/,w/,1400,"eng, jpn, cmn, others",CC BY 4.0,https://huggingface.co/datasets/google/fleurs,https://huggingface.co/datasets/google/fleurs,,
fma,Free Music Archive (FMA): Royalty-free music for your videos,music,2,"44.1, others",yes,w/,w/,8232,N/A,Creative Commons-licensed,https://www.epidemicsound.com/license/royalty-free-music/?_us=adwords&_usx=17450052410_free%20music%20archive&utm_source=google&utm_medium=paidsearch&utm_campaign=17450052410&utm_term=free%20music%20archive&gad_source=1&gclid=Cj0KCQiArby5BhCDARIsAIJvjISOxdezCnNdKMwcO0BmbPylU4x1TcbCpAgHnLbosGCSWf4BsMu1zDIaAiAJEALw_wcB,https://os.unil.cloud.switch.ch/fma/fma_full.zip,,
free-st,"Free ST American English Corpus: A free American English corpus by Surfingtech (www.surfing.ai), containing utterances from 10 speakers, Each speaker has about 350 utterances",speech,1,16,yes,w/,w/,5,eng,CC BY-NC-ND 4.0,https://www.openslr.org/45/,https://www.openslr.org/45/,,
fsd50k,"FSD50K: an open dataset of human-labeled sound events containing 51,197 Freesound clips unequally distributed in 200 classes drawn from the AudioSet Ontology",audio,1,16,yes,w/,w/,108,N/A,CC (various),https://zenodo.org/records/4060432,https://zenodo.org/records/4060432,,
german-own-voice,German own voice recordings with hearable microphones,speech,3+,44.1,no,w/,w/,4.5,others,CC BY-NC-ND 4.0,https://zenodo.org/records/10844599,https://zenodo.org/records/10844599,,
gib,Hainan gibbon calls,audio,1,others,no,w/,w/,10,others,CC BY-NC-SA 4.0,https://zenodo.org/records/6328319,https://zenodo.org/records/6328319,,
giga-s2s,GigaS2S: Large Scale English-to-X Speech-to-Speech Translation,speech,1,16,yes,"w/, w/o","w/, w/o",9000,"eng, cmn",CC BY 4.0,https://github.com/SpeechTranslation/GigaS2S,https://github.com/SpeechTranslation/GigaS2S?tab=readme-ov-file,,
giga-st,GigaST,speech,1,16,yes,w/,w/,10000,"eng, others",CC BY-NC 4.0,https://st-benchmark.github.io/resources/GigaST.html,https://st-benchmark.github.io/resources/GigaST.html#download,,
gigaspeech,"an evolving, multi-domain English speech recognition corpus with 10,000 hours of high quality labeled audio suitable for supervised training.",speech,1,16,yes,w/,w/,10000,eng,non-commercial,https://huggingface.co/datasets/speechcolab/gigaspeech,https://huggingface.co/datasets/speechcolab/gigaspeech,,
goodsounds,GoodSounds: monophonic recordings of two kind of exercises: single notes and scales,music,1,48+,no,w/o,w/o,28,N/A,CC BY 4.0,https://www.upf.edu/web/mtg/good-sounds,https://zenodo.org/records/4588740#.YFDoDdyCFPY,,
grid,The Grid Audio-Visual Speech Corpus,speech,1,others,no,w/o,w/o,0.5,eng,CC BY 4.0,https://zenodo.org/records/3625687,https://zenodo.org/records/3625687,,
gsr-jd,"Regional Difference in Spoken Japanese Dialects"" Spoken Japanese Dialect Corpus",speech,1,16,no,w/o,N/A,145,jpn,research only,https://research.nii.ac.jp/src/GSR-JD.html,https://www.nii.ac.jp/dsc/idr/speech/submit/GSR-JD.html,,
gtsinger,GTSinger,"speech, music",1,48+,no,w/o,w/o,81,others,CC BY-NC-SA 4.0,https://gtsinger.github.io/home,https://huggingface.co/datasets/GTSinger/GTSinger,,
gtzan,GTZAN: Music Genre Classification,music,1,22.05,no,w/,w/,8,N/A,none,https://www.kaggle.com/datasets/andradaolteanu/gtzan-dataset-music-genre-classification,https://www.kaggle.com/datasets/andradaolteanu/gtzan-dataset-music-genre-classification,,
guitarduet,GuitarDuets Dataset,music,2,44.1,no,w/o,w/o,3,N/A,CC BY 4.0,https://zenodo.org/records/12802440,https://zenodo.org/records/12802440,,
guitarset,GuitarSet,music,3+,44.1,no,w/o,w/o,3,N/A,CC BY 4.0,https://guitarset.weebly.com/,https://zenodo.org/records/3371780,,
half-truth,Half-Truth,speech,1,44.1,no,w/o,w/o,60,cmn,CC BY 4.0,http://addchallenge.cn/databases2023,https://zenodo.org/records/10377492,,
hbdb,HumBugDB,audio,1,"8, 44.1",no,w/,w/,20,N/A,CC BY 4.0,https://github.com/HumBug-Mosquito/HumBugDB,https://zenodo.org/records/4904800,,
hcudb,感情音声コーパス (HCUDB),speech,1,48+,unknown,w/o,w/o,,jpn,research only,https://research.nii.ac.jp/src/HCUDB.html,https://www.nii.ac.jp/dsc/idr/speech/submit/HCUDB.html,,
hi-mia-cw,A Free Mandarin Supplemental Speech Corpus to HI-MIA Database,speech,1,16,no,w/,w/,6,"eng, cmn",CC BY-SA 4.0,https://openslr.magicdatatech.com/120/,https://openslr.magicdatatech.com/120/,,
hifi-tts,Hi-Fi Multi-Speaker English TTS Dataset (Hi-Fi TTS),speech,1,44.1,unknown,w/,w/,292,eng,CC BY 4.0,https://www.openslr.org/109/,https://www.openslr.org/109/,,
honburg,homburg,music,2,44.1,yes,w/o,w/o,5,N/A,none,https://www-ai.cs.tu-dortmund.de/audio.html,https://www-ai.cs.tu-dortmund.de/audio.html,,
icassp2023-dns,ICASSP 2023 Deep Noise Suppression Challenge,"speech, audio",1,48+,yes,w/,w/,760,"eng, cmn","various (https://opensource.microsoft.com/cla/,)",https://github.com/microsoft/DNS-Challenge?tab=readme-ov-file,https://github.com/microsoft/DNS-Challenge?tab=readme-ov-file,,
icassp2024-icmc-asr,ICASSP 2024 ICMC-ASR Grand Challenge dataset,speech,3+,,no,w/,w/,1400,cmn,none,https://icmcasr.org/,https://icmcasr.org/,,
idmt-smt-bass,IDMT-SMT-Bass,music,1,44.1,no,w/o,w/o,3.6,N/A,CC BY-NC-ND 4.0,https://www.idmt.fraunhofer.de/en/publications/datasets/bass.html,https://zenodo.org/records/7188892,,
idmt-smt-bass-single,IDMT-SMT-Bass-SINGLE-TRACK,music,1,44.1,no,w/o,w/o,0.1,N/A,CC BY-NC-ND 4.0,https://www.idmt.fraunhofer.de/en/publications/datasets/bass_lines.html,https://zenodo.org/records/7544099,,
idmt-smt-drum,IDMT-SMT-Drum,music,1,44.1,no,w/o,w/o,2.1,N/A,CC BY-NC-ND 4.0.,https://www.idmt.fraunhofer.de/en/publications/datasets/drums.html,https://zenodo.org/records/7544164,,
idmt-smt-effect,IDMT-SMT-Audio-Effects,music,1,44.1,no,w/o,w/o,30,N/A,CC BY-NC-ND 4.0.,https://www.idmt.fraunhofer.de/en/publications/datasets/audio_effects.html,https://zenodo.org/records/7544032,,
idmt-smt-guitar,IDMT-SMT-Guitar,music,1,44.1,no,w/o,w/o,,N/A,CC BY-NC-ND 4.0.,https://www.idmt.fraunhofer.de/en/publications/datasets/guitar.html,https://zenodo.org/records/7544110,,
imad-ds,IMAD-DS: A Dataset for Industrial Multi-Sensor Anomaly Detection Under Domain Shift Conditions,audio,1,16,no,w/,w/,,N/A,CC BY-SA 4.0,https://github.com/augustif/IMAD-DS_baseline,https://zenodo.org/records/12665499,,
ir-br-tf,Database of multichannel in-ear and behind-the-ear head-related and binaural room impulse responses,audio,3+,48+,unknown,w/o,"0, 300, 900, 1250",1,others,research or education only,https://medi.uni-oldenburg.de/hrir/,https://medi.uni-oldenburg.de/hrir/html/download.html,,
irmas,IRMAS: a dataset for instrument recognition in musical audio signals,music,,,,,,,,CC BY-NC-SA 4.0,https://www.upf.edu/web/mtg/irmas,https://zenodo.org/records/1290750#.WzCwSRyxXMU,,
ita,ITA: Inter-field Task Accelerating corpus,speech,1,48+,no,w/o,w/o,2,jpn,non-commercial,https://github.com/mmorise/ita-corpus,https://zunko.jp/multimodal_dev/login.php,,
ita-third-party,ITA third-pirty,speech,1,48+,no,w/o,w/o,5,jpn,non-commercial,https://github.com/mmorise/ita-corpus,https://tyc.rei-yumesaki.net/material/corpus/ita-list/,,
jacappella,jaCappella: A Japanese a Cappella Vocal Ensemble Corpus,music,1,48+,no,w/o,w/o,0.5,jpn,Research (free)+Commercial (chargeable),https://huggingface.co/datasets/jaCappella/jaCappella,https://huggingface.co/datasets/jaCappella/jaCappella,,
jchat,J-CHAT: Japanese Large-scale Spoken Dialogue Corpus for Spoken Dialogue Language Modeling,speech,1,22.05,yes,w/,w/,69000,jpn,CC BY-NC 4.0,https://huggingface.co/datasets/sarulab-speech/J-CHAT,https://huggingface.co/datasets/sarulab-speech/J-CHAT,,
jingju-a-cappella-v7,Jingju a cappella singing dataset part1,speech,"1, 2",44.1,no,w/o,w/o,1,cmn,CC BY-NC 4.0,https://zenodo.org/records/1323561,https://zenodo.org/records/13235611,,
jlcorpus,JL-Corpus: Emotional speech corpus with primary and secondary emotions,speech,1,44.1,no,w/o,w/o,1,others,CC0 1.0,https://github.com/tli725/JL-Corpus?tab=readme-ov-file,https://www.kaggle.com/datasets/tli725/jl-corpus?resource=download,,
jspaw,"J-SpAW: Japanese corpus for speaker verification and spoofing attack detection, recorded in the wild",speech,1,48+,yes,w/,w/,4,jpn,research only,https://github.com/takamichi-lab/j-spaw,https://github.com/takamichi-lab/j-spaw,,
jsss,JSSS: Japanese speech corpus for summarization and simplification,speech,1,24,no,w/o,w/o,8,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/research-topics/jsss_corpus,https://sites.google.com/site/shinnosuketakamichi/research-topics/jsss_corpus,,
jsut,JSUTコーパス,speech,1,48+,no,w/o,w/o,10,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/publication/jsut,https://drive.google.com/file/d/1f7bIQfwWdFOxeaYzs5Cw-HTcA8uwQ8qp/view,,
jsut-book,JSUT-book: JSUT audiobook reading corpus,speech,1,48+,no,w/o,w/o,1,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/publication/jsut-song,https://sites.google.com/site/shinnosuketakamichi/publication/jsut-song,,
jsut-song,JSUT-song corpus: JSUT singing voice corpus,speech,1,48+,no,w/o,w/o,0.5,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/publication/jsut-song,https://sites.google.com/site/shinnosuketakamichi/publication/jsut-song,,
jsut-vi,JSUT vi: JSUT vocal imitation corpus,"speech, audio",1,48+,no,w/o,w/o,0.5,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/publication/jsut-vi,https://sites.google.com/site/shinnosuketakamichi/publication/jsut-vi,,
jtubespeech,jTubeSpeech: Corpus of Japanese speech collected from YouTube,speech,1,16,yes,w/,w/,1200,jpn,research only,https://github.com/sarulab-speech/jtubespeech,,,
jtubespeech-asv,JTubeSpeech-ASV: Japanese speech corpus for automatic speaker verification,speech,1,16,yes,w/,w/,484,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/research-topics/jtubespeech-asv_corpus,https://sites.google.com/site/shinnosuketakamichi/research-topics/jtubespeech-asv_corpus,,
jvnv,JVNV: Japanese emotional speech corpus with Verbal content and Nonverbal Vocalizations,speech,1,48+,no,w/o,w/o,4,jpn,CC BY-SA 4.0,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvnv_corpus,https://sites.google.com/site/shinnosuketakamichi/research-topics/jvnv_corpus,,
jvpd,身体情報付き男・女・子どもの母音音声データベース (JVPD),speech,1,16,unknown,both,w/,0.1,jpn,research only,https://research.nii.ac.jp/src/JVPD.html,https://www.nii.ac.jp/dsc/idr/speech/submit/JVPD.html,,
jvs-third-party,JVS third-pirty,speech,1,48+,no,w/o,w/o,5,jpn,various,https://tyc.rei-yumesaki.net/material/corpus/voiceactress100/list/,https://tyc.rei-yumesaki.net/material/corpus/voiceactress100/list/,,
jwc,児童の単語音声データベース (JWC),speech,1,16,unknown,w/o,w/o,,jpn,research only,https://research.nii.ac.jp/src/JWC.html,https://www.nii.ac.jp/dsc/idr/speech/submit/JWC.html,,
kaggle-birdclef-2023,BirdCLEF 2023: Identify bird calls in soundscapes,audio,1,32,yes,w/,w/,0.5,N/A,kaggle,https://www.kaggle.com/competitions/birdclef-2023/data,https://www.kaggle.com/competitions/birdclef-2023/data,,
kaggle-birds-2022,Sound Of 114 Species Of Birds Till 2022,audio,1,44.1,yes,w/,w/,2,N/A,CC0 1.0,https://www.kaggle.com/datasets/soumendraprasad/sound-of-114-species-of-birds-till-2022?select=Voice+of+Birds,https://www.kaggle.com/datasets/soumendraprasad/sound-of-114-species-of-birds-till-2022?select=Voice+of+Birds,,
kaggle-birdsong,birdsong resampled train audio,audio,1,32,yes,w/,w/,32,N/A,various,https://www.kaggle.com/datasets/ttahara/birdsong-resampled-train-audio-00,https://www.kaggle.com/datasets/ttahara/birdsong-resampled-train-audio-00,,
kaggle-cat-meow,Cat Meow Classification,audio,1,8,yes,w/,w/,0.1,N/A,CC BY-NC 4.0,https://www.kaggle.com/datasets/andrewmvd/cat-meow-classification/data,https://www.kaggle.com/datasets/andrewmvd/cat-meow-classification/data,,
kaggle-cats-dongs,Audio Cats and Dogs: Classify raw sound events,audio,1,16,yes,w/,w/,0.5,N/A,CC BY-SA 3.0,https://www.kaggle.com/datasets/mmoreaux/audio-cats-and-dogs,https://www.kaggle.com/datasets/mmoreaux/audio-cats-and-dogs,,
kaggle-emergency-siren,Emergency Vehicle Siren Sounds: Collection of 3-second long wav-format of Emergency Vehicle Sounds,audio,2,44.1,no,w/,w/,0.5,N/A,OK for commercial use,https://www.kaggle.com/datasets/vishnu0399/emergency-vehicle-siren-sounds,https://www.kaggle.com/datasets/vishnu0399/emergency-vehicle-siren-sounds,,
kaggle-heartbeat,Heartbeat Sounds: Classifying heartbeat anomalies from stethoscope audio,audio,1,44.1,no,w/,w/,1,N/A,CC0 1.0,https://www.kaggle.com/datasets/kinguistics/heartbeat-sounds,https://www.kaggle.com/datasets/kinguistics/heartbeat-sounds,,
kaggle-human-screaming,Human Screaming Detection Dataset: A dataset for audio classification for emergency detection,speech,2,44.1,no,w/,w/,6,N/A,MIT,https://www.kaggle.com/datasets/whats2000/human-screaming-detection-dataset,https://www.kaggle.com/datasets/whats2000/human-screaming-detection-dataset,,
kaggle-infant-cry,Infant cry audio corpus: An infant cry audio corpus that has been built through the Donate-a-cry campaign,speech,1,8,no,w/,w/,1,N/A,ODbL v1.0,https://www.kaggle.com/datasets/warcoder/infant-cry-audio-corpus,https://www.kaggle.com/datasets/warcoder/infant-cry-audio-corpus,,
kaggle-respiratory,Respiratory Sound Database: Use audio recordings to detect respiratory diseases.,audio,1,44.1,no,w/,w/,5.5,N/A,unknown,https://www.kaggle.com/datasets/vbookshelf/respiratory-sound-database,https://www.kaggle.com/datasets/vbookshelf/respiratory-sound-database,,
kaggle-speech-sentiment,Audio Speech Sentiment,speech,2,44.1,no,w/,w/,0.2,eng,CC0 1.0,https://kaggle.com/datasets/imsparsh/audio-speech-sentiment,https://kaggle.com/datasets/imsparsh/audio-speech-sentiment,,
kaggle-summarization,Audio Summarization: Dataset with audio and texts for the audio summarization or speech-to-text tasks,speech,2,44.1,yes,w/o,w/o,2,eng,CC BY-NC-SA 3.0,https://www.kaggle.com/datasets/nfedorov/audio-summarization,https://www.kaggle.com/datasets/nfedorov/audio-summarization,,
kaggle-xqc,xqc-audio-clips: 69 audio clips of XQC live streams,speech,2,44.1,yes,w/,w/,100,eng,DbCL v1.0,https://www.kaggle.com/datasets/naklecha/xqcaudioclips,https://www.kaggle.com/datasets/naklecha/xqcaudioclips,,
keio-esd,慶應義塾大学 研究用感情音声データベース (Keio-ESD),speech,1,16,unknown,w/o,w/o,0.2,jpn,research only,https://research.nii.ac.jp/src/Keio-ESD.html,https://www.nii.ac.jp/dsc/idr/speech/submit/Keio-ESD.html,,
kespeech,KeSpeech: An Open Source Speech Dataset of Mandarin and Its Eight Subdialects,speech,1,16,no,w/,w/,1542,cmn,non-commercial,https://github.com/KeSpeech/KeSpeech,https://github.com/KeSpeech/KeSpeech,,
koniwa,Koniwa,speech,1,others,yes,w/,w/,150,jpn,CC BY 4.0 など,https://github.com/koniwa/koniwa,https://drive.google.com/drive/folders/1edUnYJpT8y0ZmAQSE_fJPQ6VnNBS6qWA,,
kujc,日中対照調音動態MRI動画コーパス (KUJC-MRI),"speech, others",2,44.1,no,w/,w,,jpn,research only,https://research.nii.ac.jp/src/KUJC-MRI.html,https://www.nii.ac.jp/dsc/idr/speech/submit/KUJC-MRI.html,,
laion-audio-630k,LAION-Audio-630K Freesound Dataset,audio,1,48+,yes,w/,w/,4325,N/A,none,https://huggingface.co/datasets/Meranti/CLAP_freesound,https://huggingface.co/datasets/Meranti/CLAP_freesound,,
laughterscape,Laughterscape,speech,1,24,yes,w/,w/,6,jpn,research only,https://sites.google.com/site/shinnosuketakamichi/research-topics/laughter_corpus,https://sites.google.com/site/shinnosuketakamichi/research-topics/laughter_corpus,,
libricss,LibriCSS: handling overlapped speech in conversational audio signals,speech,3+,16,yes,w/,w/,10,eng,MIT,https://github.com/chenzhuo1011/libri_css,https://github.com/chenzhuo1011/libri_css,,
librilight,LibriLight,speech,1,16,yes,w/,w/,60000,eng,CC BY 4.0,https://github.com/facebookresearch/libri-light,https://github.com/facebookresearch/libri-light/blob/main/data_preparation/README.md,,
librimix,Libri-Mixed-Speakers,speech,1,16,yes,w/,w/,6,eng,CC BY-SA 3.0,https://www.openslr.org/135/,https://www.openslr.org/135/,,
librispeech,LibriSpeech,speech,1,16,yes,w/,w/,960,eng,CC BY 4.0,https://www.openslr.org/12,https://www.openslr.org/12,,
librispeech-d,Librispeech diarization,speech,1,16,no,w/,w/,90,eng,CC BY 4.0,https://github.com/EMRAI/emrai-synthetic-diarization-corpus,https://github.com/EMRAI/emrai-synthetic-diarization-corpus,,
libritts,LibriTTS ,speech,1,24,yes,w/,w/,585,eng,CC BY 4.0,https://openslr.org/60/,https://openslr.org/60/,,
libritts-p,LibriTTS-P,speech,1,24,no,w/o,w/o,585,eng,CC BY 4.0,https://github.com/line/LibriTTS-P,https://github.com/line/LibriTTS-P,,
libritts-r,LibriTTS-R,speech,1,24,no,w/o,w/o,585,eng,CC BY 4.0,https://www.openslr.org/141/,https://www.openslr.org/141/,,
ljspeech,LJspeech,speech,1,24,yes,w/,w/,24,eng,public domain,https://keithito.com/LJ-Speech-Dataset/,https://keithito.com/LJ-Speech-Dataset/,,
lm-ssd,A Dataset of Larynx Microphone Recordings for Singing Voice Reconstruction,"speech, music",1,44.1,no,w/,w/,20,eng,CC BY 4.0 (but songs are commercial),https://audiolabs-erlangen.de/resources/MIR/LM-SVR/,https://audiolabs-erlangen.de/content/resources/MIR/LM-SVR/lm-ssd.zip,,
locata,Acoustic Source Localization and Tracking (LOCATA),audio,3+,48+,no,w/,about 550,0.9,eng,ODC-By v1.0,https://zenodo.org/records/3630471,https://zenodo.org/records/3630471,,
lp-musiccaps,LP-MusicCaps: LLM-Based Pseudo Music Captioning,music,,,yes,w/,w/,15,eng,MIT,https://github.com/seungheondoh/lp-music-caps/tree/main,https://huggingface.co/datasets/seungheondoh/LP-MusicCaps-MSD,,
lp-musicmtt,LPMusicMTT,music,,,yes,w/,w/,60,eng,MIT,https://huggingface.co/datasets/seungheondoh/LP-MusicCaps-MTT,https://huggingface.co/datasets/seungheondoh/LP-MusicCaps-MTT,,
LRW1-2-3,Lip Reading Datasets,speech,1,16,yes,w/,w/,800,eng,non-commercial,https://www.robots.ox.ac.uk/~vgg/data/lip_reading/,https://www.robots.ox.ac.uk/~vgg/data/lip_reading/,,
lsx,Librispeech Slakh Unmix (LSX),"music, speech",1,16,yes,w/,w/,30,eng,CC BY 4.0,https://zenodo.org/records/7765140,https://zenodo.org/records/7765140,,
m-tedx,Multilingual TEDx,speech,2,44.1,yes,w/,w/,760,"eng, others",CC BY-NC-ND 4.0,https://openslr.org/100,https://openslr.org/100,,
