label,corpus name,sound type,num channels,sampling rate [kHz],compression,SNR [dB],RT60 [ms],Duration [h],language,license,project page link,download link,,
m4singer,"M4Singer: A Multi-Style, Multi-Singer and Musical Score Provided Mandarin Singing Corpus","music, speech",1,44.1,no,w/o,w/o,29.77,"cmn, others",CC BY-NC-SA 4.0,https://github.com/M4Singer/M4Singer?tab=readme-ov-file,https://drive.google.com/file/d/1xC37E59EWRRFFLdG3aJkVqwtLDgtFNqW/view,,
macs,MACS: Multi-Annotator Captioned Soundscapes,audio,2,48+,yes,w/,w/,40,eng,non-commercial,https://researchportal.tuni.fi/en/datasets/macs-multi-annotator-captioned-soundscapes,https://zenodo.org/records/5114771,,
maestro-v3,Maestro-v3.0.0: a dataset composed of about 200 hours of virtuosic piano performances captured with fine alignment (~3 ms) between note labels and audio waveforms.,music,2,"44.1, 48+",no,w/o,w/o,200,N/A,CC BY-NC-SA 4.0,https://magenta.tensorflow.org/datasets/maestro#v300,https://magenta.tensorflow.org/datasets/maestro#v300,,
magicdata,MAGICDATA Mandarin Chinese Read Speech Corpus,speech,1,16,yes,w/,w/,755,cmn,CC BY-NC-ND 4.0,https://www.openslr.org/68,https://www.openslr.org/68,,
magnatagatune,"MagnaTagATune: corpus by Magic Data Technology Co., Ltd. , containing 755 hours of scripted read speech data from 1080 native speakers of the Mandarin Chinese spoken in mainland China",music,1,16,yes,w/o,w/o,200,"eng, cmn",CC BY-NC-SA 1.0,https://mirg.city.ac.uk/codeapps/the-magnatagatune-dataset,https://mirg.city.ac.uk/codeapps/the-magnatagatune-dataset,,
massive-dma,Massive Distributed Microphone Array Dataset,speech,3+,48+,no,w/o,780,4,eng,CC BY 4.0,https://publish.illinois.edu/augmentedlistening/massive-distributed-microphone-array-dataset/,https://databank.illinois.edu/datasets/IDB-6216881,,
mast-rhythm-v1.1,MAST-Rhythm: collection of 3721 audio files cropped from recordings of conservatory entrance examinations in Turkey,music,1,44.1,yes,w/o,w/o,5,N/A,CC BY 4.0,https://zenodo.org/records/2620357,https://zenodo.org/records/2620357,,
mdcc,Automatic Speech Recognition Datasets in Cantonese,speech,1,16,yes,w/,w/,74,others,research only,https://github.com/HLTCHKUST/cantonese-asr,https://drive.google.com/file/d/1epfYMMhXdBKA6nxPgUugb2Uj4DllSxkn/view,,
medley-solos-db-v1.2,Medley-solos-DB: a cross-collection dataset for musical instrument recognition,music,1,44.1,no,w/o,w/o,17,N/A,CC BY 4.0,https://zenodo.org/records/3464194,https://zenodo.org/records/3464194,,
medleydb-v2,Medley DB v2.0,music,2,44.1,no,w/o,w/o,8,N/A,CC BY-NC-SA 4.0,https://medleydb.weebly.com/,https://zenodo.org/records/1715175#.XAzIzxNKjyw,,
mer500,"MER500: songs in 5 popular emotional categories for Hindi film songs as Romantic, Happy, Sad, Devotional and Party",music,2,44.1,no,w/o,w/o,1.3,N/A,unknown,https://www.kaggle.com/datasets/makvel/mer500?select=Happy,https://www.kaggle.com/datasets/makvel/mer500?select=Happy,,
mimii,MIMII Dataset: Sound Dataset for Malfunctioning Industrial Machine Investigation and Inspection,audio,3+,16,no,w/,w/,90,N/A,CC BY-SA 4.0,https://zenodo.org/records/3384388,https://zenodo.org/records/3384388,,
mimii-dg,MIMII DG: Sound Dataset for Malfunctioning Industrial Machine Investigation for Domain Generalization Task,audio,1,16,no,w/,w/,50,N/A,CC BY-NC-SA 4.0,https://zenodo.org/records/6529888,https://zenodo.org/records/6529888,,
mir-1k,MIR-1K,music,2,16,no,w/o,w/o,6,N/A,none,http://mirlab.org/dataset/public/,http://mirlab.org/dataset/public/,,
mls,Multilingual LibriSpeech (MLS),speech,1,16,no,w/,w/,50000,"eng, others",CC BY 4.0,https://www.openslr.org/94/,https://www.openslr.org/94/,,
mmau,MMAU: A Massive Multi-Task Audio Understanding and Reasoning Benchmark,"speech, audio, music",,,,,,,eng,none,https://sakshi113.github.io/mmau_homepage/,https://github.com/Sakshi113/mmau/tree/main?tab=readme-ov-file,,
mms,MMS-unlab v2,speech,1,16,yes,w/,w/,8900,"eng, jpn, cmn, others",CC BY-NC 4.0,https://huggingface.co/datasets/espnet/mms_ulab_v2,https://huggingface.co/datasets/espnet/mms_ulab_v2,,
mobvoi-hotwords,Chinese hotwords detection dataset,speech,1,16,yes,w/,w/,262,cmn,Apache License v2.0,https://www.openslr.org/87/,https://www.openslr.org/87/,,
moisesdb,MoisesDB,music,2,44.1,unknown,,,14,,NC-RCL,https://music.ai/research/#datasets,https://music.ai/research/#datasets,,
mos-bench,MOS-Bench,speech,1,"16, 24, 48+, 22.05",no,"w/, w/o","w/, w/o",,"eng, jpn, cmn, others",https://github.com/unilight/sheet,https://github.com/unilight/sheet,https://github.com/unilight/sheet,,
mosel,MOSEL: multilingual dataset collection including up to 950K hours of open-source speech recordings,speech,1,,unknown,w/,w/,950000,"eng, others",CC BY 4.0,https://mt.fbk.eu/mosel/,https://huggingface.co/datasets/FBK-MT/mosel,,
msd,Million Song Dataset (MSD),music,,,,,,,,,,,,
msd100,MSD100: Mixing Secret Dataset 100,music,"1, 2",44.1,no,N/A,N/A,7,,https://www.multitracks.com/terms/,https://sisec.inria.fr/sisec-2015/,https://sisec.inria.fr/sisec-2015/2015-professionally-produced-music-recordings/,,
mtd,A Multimodal Dataset of Musical Themes for MIR Research,music,2,44.1,unknown,w/o,N/A,5,N/A,CC BY 4.0,https://www.audiolabs-erlangen.de/resources/MIR/MTDD,https://www.audiolabs-erlangen.de/resources/MIR/MTD,,
mtg-jamendo,MTG-Jamendo,music,2,44.1,yes,w/o,w/o,3777,N/A,曲依存,https://mtg.github.io/mtg-jamendo-dataset/,https://mtg.github.io/mtg-jamendo-dataset/,,
mtg-query,MTG-Query by Humming,music,1,44.1,unknown,w/o,w/o,0.88,N/A,"The MTG-QBH dataset is offered free of charge for internal non-commercial use only.  You may not redistribute, publically communicate or modify it, unless expressly permitted by the Universitat Pompeu Fabra (UPF) or by applicable law. The individual contents of the dataset may be protected by copyright, and a non-transferrable limited license to reproduce and use the same is granted for the indicated purpose only.",https://www.upf.edu/web/mtg/mtg-qbh,https://zenodo.org/records/1290712#.WzSxrxyxXMU,,
muchomusic,MuChoMusic,music,,,,,,,eng,,https://huggingface.co/datasets/mulab-mir/muchomusic,https://huggingface.co/datasets/mulab-mir/muchomusic,,
multext-j,日本語MULTEXT韻律コーパス (MULTEXT-J),speech,1,16,unknown,w/o,w/o,,jpn,research only,https://research.nii.ac.jp/src/MULTEXT-J.html,https://www.nii.ac.jp/dsc/idr/speech/submit/MULTEXT-J.html,,
musan-mus,MUSAN music,music,1,16,unknown,N/A,N/A,42.5,N/A,CC BY 4.0,https://www.openslr.org/17/,https://www.openslr.org/17/,,
musan-noise,MUSAN audio,audio,1,16,unknown,N/A,N/A,6,N/A,CC BY 4.0,https://www.openslr.org/17/,https://www.openslr.org/17/,,
musan-sp,MUSAN speech,speech,1,16,unknown,N/A,N/A,60,"eng, others",CC BY 4.0,https://www.openslr.org/17/,https://www.openslr.org/17/,,
musdb18,MUSDB18: a dataset of 150 full lengths music tracks,"music, speech",2,44.1,yes,N/A,N/A,10,N/A,various,https://zenodo.org/records/1117372,https://zenodo.org/records/1117372,,
music4all,Music4all,music,,,,w/,w/,900,N/A,research only?,https://sites.google.com/view/contact4music4all,https://sites.google.com/view/contact4music4all,,
musicbench,MusicBench,music,,,,w/,w/,,eng,CC BY-SA 3.0,https://huggingface.co/datasets/amaai-lab/MusicBench,https://huggingface.co/datasets/amaai-lab/MusicBench,,
musiccaps,MusicCaps,music,2,44.1,yes,w/,w/,15,eng,CC BY-SA 4.0,https://huggingface.co/datasets/google/MusicCaps,https://huggingface.co/datasets/google/MusicCaps,,
musicinstruct,MusicInstruct,music,2,44.1,yes,w/,w/,15,eng,CC BY-NC 4.0,https://huggingface.co/datasets/m-a-p/Music-Instruct,https://huggingface.co/datasets/m-a-p/Music-Instruct,,
musicnet,MusicNet,music,1,44.1,unknown,N/A,N/A,34,eng,CC BY 4.0,https://www.kaggle.com/datasets/imsparsh/musicnet-dataset,https://www.kaggle.com/datasets/imsparsh/musicnet-dataset,,
musicqa,MusicQA,music,others,others,unknown,N/A,N/A,0,eng,none,https://huggingface.co/datasets/mu-llama/MusicQA,https://huggingface.co/datasets/mu-llama/MusicQA,,
mvsep-guitar,MVSEP guitar dataset,music,2,44.1,no,w/,w/,0.5,N/A,none,https://mvsep.com/quality_checker/custom_leaderboards,https://mvsep.com/storage/public/guitar_validation.zip,,
mvsep-medleyvox,Medley Vox dataset,music,1,44.1,no,w/,w/,1,N/A,none,https://mvsep.com/quality_checker/custom_leaderboards,https://mvsep.com/storage/public/medley_vox_mixtures.zip,,
mvsep-multi,MVSEP multisong dataset,music,2,44.1,no,w/,w/,1.6,"eng, others",none,https://mvsep.com/ja/quality_checker,https://mvsep.com/storage/public/multisong_dataset.zip,,
mvsep-piano,MVSEP piano dataset,music,2,44.1,no,w/,w/,0.9,N/A,none,https://mvsep.com/quality_checker/custom_leaderboards,https://mvsep.com/storage/public/piano_mixtures.zip,,
mvsep-strings,MVSEP strings dataset,music,2,44.1,no,w/,w/,0.5,N/A,none,https://mvsep.com/quality_checker/custom_leaderboards,https://mvsep.com/storage/public/strings_mixtures.zip,,
mvsep-synth,MVSEP synthesic dataset,music,2,44.1,no,w/,w/,1.6,N/A,none,https://mvsep.com/ja/quality_checker,https://mvsep.com/storage/public/synth_dataset.zip,,
mvsep-wind,MVSEP wind dataset,music,2,44.1,no,w/,w/,0.6,N/A,none,https://mvsep.com/quality_checker/custom_leaderboards,https://mvsep.com/storage/public/wind_mixtures.zip,,
myriad,MYRiAD: A Multi-Array Room Acoustic Database,audio,3+,44.1,no,w/,w/,75,N/A,CC BY-NC-SA 4.0,https://zenodo.org/records/7389996,https://zenodo.org/records/7389996,,
naist-sic-2022,NAIST-SIC 2022: NAIST Simultaneous Interpretation Corpus 2022,speech,1,,,w/o,w/o,300,"eng, jpn",research only,https://dsc-nlp.naist.jp/data/NAIST-SIC/2022/,https://dsc-nlp.naist.jp/data/NAIST-SIC/2022/,,
nhss,NHSS: A Speech and Singing Parallel Database,speech,1,48+,no,w/o,w/o,7,eng,research only,https://hltnus.github.io/NHSSDatabase/index.html,https://hltnus.github.io/NHSSDatabase/download.html,,
ninjal-btsj1000,BTSJ Japanese 1000 Person Natural Conversation Corpus,speech,2,32,yes,w/,w/,130,jpn,research only,https://mmsrv.ninjal.ac.jp/btsj/,https://mmsrv.ninjal.ac.jp/btsj/corpus.html,,
ninjal-bunkacho,Emergency Survey of Regional Dialects,speech,2,48+,no,w/,w/,30,jpn,none,https://kikigengo.ninjal.ac.jp/kinkyu/,https://kikigengo.ninjal.ac.jp/kinkyu/,,
ninjal-dejd,Database of Endangered Languages of Japan,speech,1,16,yes,w/,w/,1.2,jpn,none,https://kikigengo.ninjal.ac.jp/,https://kikigengo.ninjal.ac.jp/data/danwa/search,,
ninjal-hougendanwa,Texts of Tape-Recorded Conversations in Japanese Dialects,speech,1,16,yes,w/,w/,55,jpn,CC BY 4.0,https://mmsrv.ninjal.ac.jp/hogendanwa_siryo/,https://mmsrv.ninjal.ac.jp/hogendanwa_siryo/,,
ninjal-hougensiryou,Dialect Recordings Series,speech,2,16,yes,w/,w/,15,jpn,"public domain, CC BY 4.0",https://mmsrv.ninjal.ac.jp/hogenrokuon_siryo/,https://mmsrv.ninjal.ac.jp/hogenrokuon_siryo/,,
ninjal-nihongolearner,Japanese Language Learner Conversation Database,speech,2,44.1,yes,w/,w/,100,jpn,CC BY-NC-ND 4.0,https://mmsrv.ninjal.ac.jp/kaiwa/,https://mmsrv.ninjal.ac.jp/kaiwa/,,
nisqa,NISQA: Speech Quality and Naturalness Assessment,speech,1,48+,no,w/o,w/o,25,eng,"https://github.com/gabrielmittag/NISQA/wiki/NISQA-Corpus, (ok for commercial use)",https://github.com/gabrielmittag/NISQA,https://github.com/gabrielmittag/NISQA?tab=readme-ov-file#nisqa-corpus,,
nonspeech7k,Nonspeech7k dataset,speech,1,32,yes,w/,w/,2,N/A,CC BY-NC-SA 4.0,https://zenodo.org/records/6967442,https://zenodo.org/records/6967442,,
nsynth,NSynth,music,1,16,no,w/o,w/o,340,eng,CC BY 4.0,https://magenta.tensorflow.org/datasets/nsynth,https://magenta.tensorflow.org/datasets/nsynth#files,,
number7-sing,No.7 singing voice dataset ,speech,1,48+,no,w/o,w/o,1,jpn,research only,https://voiceseven.com/,https://voiceseven.com/,,
number7-speech,No.7 speech dataset ,speech,1,48+,no,w/o,w/o,20,jpn,research only,https://voiceseven.com/,https://voiceseven.com/,,
nus-48e,NUS-48E: NUS Sung and Spoken Lyrics Corpus,speech,1,44.1,no,w/o,w/o,3,eng,none,https://opendatalab.com/OpenDataLab/NUS-48E,https://drive.google.com/drive/folders/12pP9uUl0HTVANU3IPLnumTJiRjPtVUMx,,
ogvc,感情評定値付きオンラインゲーム音声チャットコーパス (OGVC),speech,1,"44.1, 48+",unknown,w/o,w/,13.5,jpn,research only,https://research.nii.ac.jp/src/OGVC.html,https://www.nii.ac.jp/dsc/idr/speech/submit/OGVC.html,,
ojama-song,OJaMa: Speech Corpus of an Ordinary Japanese Male Speaker,speech,1,48+,no,w/o,w/o,2,jpn,research only,https://sython.org/Corpus/OJaMa-Song/,https://sython.org/Corpus/OJaMa-Song/,,
oogami,宮古大神島方言音声データベース (Oogami),speech,2,44.1,unknown,w/,w/,,jpn,research only,https://research.nii.ac.jp/src/Oogami.html,https://www.nii.ac.jp/dsc/idr/speech/submit/Oogami.html,,
openair-ao,Openair anechoic-orchestra,music,2,44.1,unknown,both,w/o,0.5,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/anechoic-orchestra/Anechoic%20Orchestral/,,
openair-apb,Openair acoustics-and-psychoacoustics-book,"music, speech",1,44.1,unknown,w/o,w/o,0.05,eng,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/acoustics-and-psychoacoustics-book/mono/,,
openair-bb,Openair baroque-bassoon,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/baroque-bassoon/mono/,,
openair-bsv,Openair bass-viol,music,1,44.1,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/bicycle-horn/mono/,,
openair-burp,Openair burping 1 and 2,audio,1,44.1,unknown,w/o,w/o,0.01,others,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/burping%201/,,
openair-bv,Openair baroque-viola,music,1,48+,unknown,w/o,w/o,0.05,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/baroque-viola/mono/,,
openair-bvbm,Openair bass-viol-back-mic,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,"""https://webfiles.york.ac.uk/OPENAIR/Anechoic/bass-viol-back-mic/mono/, https://webfiles.york.ac.uk/OPENAIR/Anechoic/bass-viol/mono/""",,
openair-cb,Openair classical-bassoon,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/classical-bassoon/mono/,,
openair-ccbb,Openair classical-clarinet-bb and c,music,1,48+,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,"""https://webfiles.york.ac.uk/OPENAIR/Anechoic/classical-clarinet-bb/mono/,https://webfiles.york.ac.uk/OPENAIR/Anechoic/classical-clarinet-c/mono/""",,
openair-ht,Openair handel-trumpet,music,1,48+,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/handel-trumpet/mono/,,
openair-mcbb,Openair modern-clarinet-bb,music,1,48+,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/modern-clarinet-bb/mono/,,
openair-mpt,Openair modern-piccolo-trumpet,music,1,48+,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/modern-piccolo-trumpet/mono/,,
openair-mv,Openair modern-viola,music,2,48+,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/modern-viola/mono/,,
openair-nbt,Openair natural-baroque-trumpet,music,1,48+,unknown,w/o,w/o,0.01,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/natural-baroque-trumpet/mono/,,
openair-ov,Openair operatic-voice,speech,1,48+,unknown,w/o,w/o,0,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/operatic-voice/mono/,,
openair-ppc,Openair pocket-preachers-cornet,music,1,48+,unknown,w/o,w/o,0,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/pocket-preachers-cornet/mono/,,
openair-ptvp,Openair piece-three-viols-presented-three-solo-tracks-mulitracking,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,"""https://webfiles.york.ac.uk/OPENAIR/Anechoic/piece-three-viols-presented-three-solo-tracks-mulitracking/mono/, https://webfiles.york.ac.uk/OPENAIR/Anechoic/piece-three-viols-presented-three-solo-tracks-mulitracking-back-mic/mono/""",,
openair-rcbb,Openair romantic-clarinet-bb,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/romantic-clarinet-bb/mono/,,
openair-sp,Openair starter-pistol,audio,1,48+,unknown,w/o,w/o,0,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,https://webfiles.york.ac.uk/OPENAIR/Anechoic/starter-pistol/mono/,,
openair-tnv,Openair tenor-viol,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,"""https://webfiles.york.ac.uk/OPENAIR/Anechoic/tenor-viol/mono/, https://webfiles.york.ac.uk/OPENAIR/Anechoic/tenor-viol-back-microphone/mono/""",,
openair-trv,Openair treble-viol,music,1,48+,unknown,w/o,w/o,0.1,N/A,CC BY 4.0,https://www.openair.hosted.york.ac.uk/?page_id=2,"""https://webfiles.york.ac.uk/OPENAIR/Anechoic/treble-viol/mono/, https://webfiles.york.ac.uk/OPENAIR/Anechoic/treble-viol-back-microphone/mono/""",,
openaqa,OpenAQA dataset,audio,1,16,yes,w/,w/,0,eng,none,https://github.com/YuanGongND/ltu?tab=readme-ov-file#openaqa-ltu-and-openasqa-ltu-as-dataset,https://github.com/YuanGongND/ltu?tab=readme-ov-file#openaqa-ltu-and-openasqa-ltu-as-dataset,,
openasqa,OpenASQA dataset,audio,1,16,yes,w/,w/,0,eng,none,https://github.com/YuanGongND/ltu?tab=readme-ov-file#openaqa-ltu-and-openasqa-ltu-as-dataset,https://github.com/YuanGongND/ltu?tab=readme-ov-file#openaqa-ltu-and-openasqa-ltu-as-dataset,,
opencpop,Opencpop,speech,2,44.1,yes,w/o,w/o,5.2,cmn,CC BY-NC-ND 4.0,https://wenet.org.cn/opencpop/,https://wenet.org.cn/opencpop/download/,,
openmic-2018,"OpenMIC-2018: instrument recognition dataset containing 20,000 examples of Creative Commons-licensed music available on the Free Music Archive",music,2,44.1,yes,w/,w/,55,N/A,CC BY 4.0,https://github.com/cosmir/openmic-2018,https://zenodo.org/records/1432913#.W6dPeJNKjOR,,
pasd,"Priority Areas ""Spoken Dialogue"" Simulated Spoken Dialogue Corpus (PASD)",speech,1,16,no,w/,w/,7.5,jpn,research only,https://research.nii.ac.jp/src/PASD.html,https://www.nii.ac.jp/dsc/idr/speech/submit/PASD.html,,
pasl-dsr,PASL-DSR,speech,1,16,no,w/o,w/o,3,jpn,research only,https://research.nii.ac.jp/src/PASL-DSR.html,https://www.nii.ac.jp/dsc/idr/speech/submit/PASL-DSR.html,,
pcd,Piano Concerto Dataset,music,2,22.05,no,w/o,w/,2,N/A,none,https://www.audiolabs-erlangen.de/resources/MIR/PCD,https://www.audiolabs-erlangen.de/resources/MIR/PCD,,
people-speech,The People's Speech Dataset is among the world's largest English speech recognition corpus,speech,1,16,yes,w/,w/,30000,eng,CC BY 4.0,https://huggingface.co/datasets/MLCommons/peoples_speech,https://huggingface.co/datasets/MLCommons/peoples_speech,,
phonation,Phonation,speech,1,44.1,no,w/o,w/o,0.2,N/A,CC BY-NC-SA 4.0,https://osf.io/pa3ha/,https://osf.io/pa3ha/,,
pitch-estimation,Speech and Noise Corpora for Pitch Estimation of Human Speech,"speech, audio",1,"16, 48+",,w/,w/,,eng,non-commercial,https://zenodo.org/records/3921794,https://zenodo.org/records/3921794,,
pjs,PJS: Phoneme-balanced Japanese Singing-voice corpus,speech,1,48+,no,w/o,w/o,0.45,jpn,CC BY-SA 4.0,https://sites.google.com/site/shinnosuketakamichi/research-topics/pjs_corpus,https://drive.google.com/file/d/1hPHwOkSe2Vnq6hXrhVtzNskJjVMQmvN_/view?usp=sharing,,
primewords-1,Primewords Chinese Corpus Set 1,speech,,,yes,w/,w/,100,cmn,CC BY-NC-ND 4.0,https://www.openslr.org/47/,https://www.openslr.org/47/,,
quesst-2014,QUESST 2014: Multilingual Database for Query-by-Example Keyword Spotting,speech,1,8,no,w/,w/,23,"eng, others",none,https://speech.fit.vut.cz/software/quesst-2014-multilingual-database-query-by-example-keyword-spotting,https://speech.fit.vut.cz/software/quesst-2014-multilingual-database-query-by-example-keyword-spotting,,
qut-noise,QUT NOISE,audio,2,48+,no,w/,w/o,20,N/A,CC BY-SA 4.0,https://eprints.qut.edu.au/38144/,https://github.com/qutsaivt/QUT-NOISE?tab=readme-ov-file,,
ravdess,The Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS),speech,1,48+,no,w/o,w/o,1.5,eng,CC BY-NC-SA 4.0,https://zenodo.org/records/1188976,https://zenodo.org/records/1188976,,
realman-noise,A Real-Recorded and Annotated Microphone Array Dataset for Dynamic Speech Enhancement and Localization,audio,3+,48+,no,w/o,w/,144.5,others,CC BY 4.0,https://github.com/Audio-WestlakeU/RealMAN,https://huggingface.co/datasets/AISHELL/RealMAN,,
realman-sp,A Real-Recorded and Annotated Microphone Array Dataset for Dynamic Speech Enhancement and Localization,speech,3+,48+,no,w/o,w/,83.7,others,CC BY 4.0,https://github.com/Audio-WestlakeU/RealMAN,https://huggingface.co/datasets/AISHELL/RealMAN,,
realvad,RealVAD: A Real-world Dataset for Voice Activity Detection,speech,,,,w/,w/,1.4,,CC BY 4.0,https://zenodo.org/records/3928151,https://zenodo.org/records/3928151,,
reasonspeech,ReasonSpeech,speech,1,16,yes,w/,w/,19000,jpn,CDLA-Sharing-1.0,https://research.reazon.jp/projects/ReazonSpeech/index.html,https://huggingface.co/datasets/reazon-research/reazonspeech,,
reverb,REVERB (REverberant Voice Enhancement and Recognition Benchmark) challenge,speech,"1, 2, 3+",16,no,20 or w/,200-800,,eng,non-commercial,https://reverb2014.audiolabs-erlangen.de/,https://reverb2014.audiolabs-erlangen.de/download.html,,
rfcx,Rainforest Connection Species Audio Detection,audio,1,48+,no,w/,w/,,N/A,https://www.kaggle.com/competitions/rfcx-species-audio-detection/rules,https://www.kaggle.com/competitions/rfcx-species-audio-detection,https://www.kaggle.com/competitions/rfcx-species-audio-detection,,
risc,RISC: RItsumeikan Shout Corpus,speech,1,48+,no,w/o,w/o,1.5,jpn,,https://t-fukumori.net/corpus/RISC/en.html,https://t-fukumori.net/corpus/RISC/en.html,,
rohan,ROHAN: A mora-balanced Japanese text corpus for text-to-speech synthesis,speech,1,48+,no,w/o,w/o,6,jpn,research only,https://github.com/mmorise/rohan4600,https://zunko.jp/multimodal_dev/login.php,,
rtmridb-v1,rtMRIDB v1: Real-Time MRI Articulatory Databases,speech,1,44.1,yes,w/o,w/o,7,jpn,research only,https://research.nii.ac.jp/src/rtMRIDB.html,https://research.nii.ac.jp/src/rtMRIDB.html,,
rtmridb-v2,rtMRIDB v2: Real-Time MRI Articulatory Databases,speech,1,44.1,yes,w/o,w/o,10,jpn,CC BY-NC-SA 4.0,https://www.nii.ac.jp/news/2022/0922.html,https://rtmridb.ninjal.ac.jp/,,
rwc-mus,RWC (Real World Computing) Music Database,music,2,44.1,no,"w, w/o","w, w/o",23.7,jpn,research only,https://staff.aist.go.jp/m.goto/RWC-MDB/index-j.html,https://staff.aist.go.jp/m.goto/RWC-MDB/index-j.html,,
rwcp-sp01,RWCP 会議音声データベース,speech,1,16,no,w/,w/,,jpn,research only,https://research.nii.ac.jp/src/RWCP-SP01.html,https://www.nii.ac.jp/dsc/idr/speech/submit/RWCP-SP01.html,,
rwcp-sp96,RWCP 音声対話データベース - 96年版,speech,2,16,no,w/,w/,,jpn,research only,https://research.nii.ac.jp/src/RWCP-SP96.html,https://www.nii.ac.jp/dsc/idr/speech/submit/RWCP-SP96.html,,
rwcp-sp97,RWCP 音声対話データベース - 97年版,speech,2,16,no,w/,w/,,jpn,research only,https://research.nii.ac.jp/src/RWCP-SP97.html,https://www.nii.ac.jp/dsc/idr/speech/submit/RWCP-SP97.html,,
rwcp-sp99,RWCP 検索・要約用ニュース音声データベース,speech,1,16,no,w/o,w/o,,jpn,research only,https://research.nii.ac.jp/src/RWCP-SP99.html,https://www.nii.ac.jp/dsc/idr/speech/submit/RWCP-SP99.html,,
rwcp-ssd-1,RWCP 実環境音声・音響データベース 非音声音ドライソース,audio,1,48+,no,w/o,w/o,,N/A,research only,https://research.nii.ac.jp/src/RWCP-SSD.html,https://www.nii.ac.jp/dsc/idr/speech/submit/RWCP-SSD.html,,
rwcp-ssd-2,RWCP 実環境音声・音響データベース マイクロホンアレーデータベース,"speech, others",3+,48+,,w/,w/,,"jpn, eng",research only,https://research.nii.ac.jp/src/RWCP-SSD.html,https://www.nii.ac.jp/dsc/idr/speech/submit/RWCP-SSD.html,,
saraga,Saraga collection: the largest annotated open data collections available for computational research on Indian Art Music,music,"2, 3+",44.1,yes,N/A,N/A,100,N/A,CC BY-NC 4.0,https://mtg.github.io/saraga/,https://mtg.github.io/saraga/,,
sassec,Stereo Audio Source Separation Evaluation Campaign,"speech, music",2,16,no,N/A,250,0.3,N/A,CC BY-NC-SA 2.0,https://www.irisa.fr/metiss/SASSEC07/,https://www.irisa.fr/metiss/SASSEC07/,,
savee,Surrey Audio-Visual Expressed Emotion (SAVEE): A dataset for training emotion (7 cardinal emotions) classification in audio,speech,1,44.1,no,w/o,w/,0.5,eng,research only,http://kahlan.eps.surrey.ac.uk/savee/,http://kahlan.eps.surrey.ac.uk/savee/Download.html,,
